addon_key,addon_name,category,repo_count,best_repo_stars,freshness_max,opportunity_score,repos,description_source,description_confidence
ffxicaddieprovider,FFXIcaddieprovider,general_qol,1,17,3528,3.43,mverteuil/windower4-addons,https://github.com/mverteuil/windower4-addons/blob/HEAD/ffxicaddieProvider/ffxicaddieProvider.lua,high
ffxidropstop,ffxi-drop-stop,general_qol,1,1,1335,4.0,xurion/ffxi-drop-stop,https://github.com/xurion/ffxi-drop-stop,medium
ffxikeys,FFXIkeys,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/ffxikeys/util/settings.lua,high
ffxizonename,ffxi-zonename,travel_navigation,1,4,20,4.0,onimitch/ffxi-zonename,https://github.com/onimitch/ffxi-zonename,medium
finalalert,Finalalert,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/README.md,medium
findall,Findall,general_qol,3,69,1490,1.86,Icydeath/ffxi-addons; Lygre/addons; mverteuil/windower4-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/findAll/findAll.lua,high
fisher,Fisher,general_qol,2,69,1490,2.31,Icydeath/ffxi-addons; mverteuil/windower4-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/fisher/data.lua,high
followme,Followme,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/followme/followme.lua,high
forms,forms,general_qol,1,17,1073,4.0,ZeromusXYZ/PacketViewerLogViewer,https://github.com/ZeromusXYZ/PacketViewerLogViewer,medium
friendzone,Friendzone,travel_navigation,2,69,51,3.71,Icydeath/ffxi-addons; lili-ffxi/FFXI-Addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/friendzone/friendzone.lua,high
gametime,Gametime,general_qol,2,18,3350,2.31,Lygre/addons; mverteuil/windower4-addons,https://github.com/Lygre/addons/blob/HEAD/gametime/gametime.lua,high
gaolplan,Gaolplan,automation,1,22,3,4.83,iLVL-Key/FFXI,https://github.com/iLVL-Key/FFXI/blob/HEAD/addons/GaolPlan/GaolPlan.lua,high
gearswap,Gearswap,ui_gear,3,69,1490,1.86,Icydeath/ffxi-addons; Lygre/addons; mverteuil/windower4-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/GearSwap/equip_processing.lua,high
